number,year,island,year.island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness,PC1,PC2,PC3
67,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,95,7.99,3.68,5.07,5.11,10.06,0,50,1,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,NA,,,Emery,NA,NA,-1.146209524,-0.432378216,-0.629690173
68,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,96,6.47,3.67,4.8,4.6,9.53,1,30,1,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,NA,,,Emery,NA,NA,-0.218338964,-0.786667383,0.058444804
69,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,97,7.78,3.93,5.22,6.17,10.15,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.640352423,-0.019512823,-0.003364548
70,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,99,7.45,3.07,4.91,4.51,8.66,1,30,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.191725318,-0.337278149,-1.005712651
71,2017,Santa.Cruz,2017_Santa.Cruz,AB,2017_Santa.Cruz_AB,3,100,8.01,3.03,5.12,4.6,8.71,1,30,1,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,NA,,,Emery,NA,NA,-0.549997523,-0.258807018,-1.324896604
72,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,1,5.73,4.17,4.94,3.77,7.96,0,10,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.191420853,-1.766430798,0.638912731
73,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,2,6.41,3.6,4.54,5.22,11.05,0,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.124986697,-0.295852721,0.215927433
74,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,3,6.27,3.58,5.45,5.71,9.58,1,40,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.810461998,-0.195597635,0.406893575
75,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,4,6.79,3.97,5.85,5.91,14.04,1,50,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-1.646228643,-0.424860881,0.494050395
76,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,6,5.09,3.03,4.27,4.84,8.81,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,1.123817393,-0.126611351,0.368885666
77,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,7,6.35,4.39,5.64,3.39,12.24,1,40,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,-0.988371809,-2.284210989,0.359464863
78,2017,Isabela,2017_Isabela,AP,2017_Isabela_AP,4,9,5.33,3.58,4.44,5.18,9.89,0,20,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,,,Emery,NA,NA,0.395919036,-0.359840218,0.786086379
