"","year","island","year.island","population","year_pop","npop","length","width","depth","longest_spine","lower_spine","spine_position","PC1","PC2","PC3","PC4","PC5","PC6"
"4511",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.699851929550742,0.133807815472635,-0.189688468819344,-0.22977037992065,0.931116443758013,-0.0275738308639688,-0.625895640437592,1.22892570862793,0.0874742050700289,-0.104196782306297,-0.236588086152113,-0.515232674881529
"4512",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.468850268529293,-0.982328326454547,0.059134352765347,-0.519068457635008,-1.07388021550108,1.05821145309334,-0.236170575024678,-0.657999337881022,-1.26668810410792,-1.21414579912675,-0.542897453386227,0.0764949859160637
"4513",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.490506674250054,-0.52940351523772,0.438292938037258,-0.805002604213152,0.931116443758013,-1.11335911482127,0.0960395697317464,0.595607365268554,0.937736776200647,0.469217571820538,-1.28229816644096,0.510217829059199
"4515",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.216192201787082,-1.69406731550956,-0.616241877250244,-1.29950048123653,-1.07388021550108,1.05821145309334,1.3552435315957,-1.41463702627318,-1.61935418069236,-0.460262656738419,-1.46125732258236,0.101485523589579
"4517",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.541038287598495,0.392621993310823,0.106529175924336,-0.125488514698033,0.931116443758013,-1.11335911482127,-0.816655153861286,1.26183383940954,1.29189490898091,-0.146754977084683,-0.192796522055733,-0.327270945597293
"4518",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,1.04635442108292,0.538204968344803,0.912241169627146,0.0797112846109887,0.931116443758013,-0.0275738308639688,-1.92033498459528,1.4578994841276,0.252515518747593,-0.237107868103839,-0.0382094850129487,0.00828291545417892
"4519",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-1.21313057578314,-2.14699212672639,-2.01438916044041,-0.899192676027129,-1.07388021550108,-1.11335911482127,2.97035531800047,-0.898626684423587,0.717603220723689,-1.5664506628023,-0.662152764039569,-0.34912752924582
"4521",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.00759065732744665,0.214687246047068,0.213167528032061,-0.374419418777829,0.931116443758013,-0.0275738308639688,-0.381739150288273,0.887862883271527,0.18176332839882,0.253834441564332,0.165482341397113,0.070300805280903
"4522",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,-0.0942162802104902,-0.157358134595326,-0.000109176183388834,-0.471973421728019,0.931116443758013,-1.11335911482127,0.166232518883518,0.870162139221372,1.16992628025388,0.119104526918732,-0.309225784946919,0.135818682879261
"4523",2017,"Santa.Cruz","2017_Santa.Cruz","AB","2017_Santa.Cruz_AB",3,0.136785380810959,-0.286765223514419,-0.24893199776808,-0.300412933781132,0.931116443758013,-1.11335911482127,0.0837987370750451,1.16190153857794,1.14729129142052,-0.260069310137478,-0.346877324349919,-0.133204410990626
