year,island,year island,population,year_pop,npop,mericarp,length,width,depth,longest_spine,spine_tip_distance,lower_spine,spine_position,eaten,eaten_insects,seed_position_1,seed_position_2,seed_position_3,seed_position_4,seed_position_5,seed_position_6,germinated,germinated_position_1,germinated_position_2,germinated_position_3,germinated_position_4,germinated_position_5,germinated_position_6,total_seed_mericarp,mericarp_notes,spine_notes,measurer,mass,hardness
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,43,6.83,3.4,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.074,0.74
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,44,7.22,2.8,,NA,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.08,0.72
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,45,7.57,3.34,,11.85,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.08,0.84
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,46,8.07,3.44,,13.15,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.098,0.83
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,47,8.1,3.28,,NA,,0,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.053,0.81
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,48,7.42,2.94,,NA,,1,,1,,1,1,1,1,1,0,0,,,,,,,,,,,0.028,0.56
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,49,9.31,3.68,,12.12,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.122,0.68
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,50,8.73,3.99,,12.2,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.118,1.03
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,51,8.23,3.26,,NA,,1,,0,,,,,,,,0,,,,,,,,,,,0.093,0.73
2015,Santa.Cruz,2015_Santa.Cruz,AB,2015_Santa.Cruz_AB,3,52,8.52,3.42,,10.82,,1,,1,,1,0,0,0,0,0,0,,,,,,,,,,,0.118,0.66
